N_OC,CANTIDAD,OBSERVACION,PRECIO_UNITARIO,TOTAL,C_REPUESTO,IDINTERNO
10000232,30,,1.01,30.3,01001-02008,50359053
10000232,4,,16.25,65,01001-02057,50359054
10000232,6,,24.61,147.66,01001-02054,50359055
10000248,1,Requerimiento Inmediato,21.19,21.19,01001-06056,50359353
10000248,1,Requerimiento Inmediato,12.71,12.71,01001-06014,50359354
10000248,1,Requerimiento Inmediato,21.19,21.19,01001-06028,50359355
10000253,1,Requerimiento Inmediato,25.43,25.43,01001-09024,50359433
10000258,1,Requerimiento Inmediato,101.7,101.7,01001-02513,50359474
10000264,1,Requerimiento Inmediato,101.7,101.7,01001-05002,50359573
10000275,1,Requerimiento Inmediato,118.64,118.64,01001-05002,50359773
10000295,1,Requerimiento Inmediato,19.49,19.49,01001-06042,50360113
10000295,1,Requerimiento Inmediato,21.19,21.19,01001-06071,50360114
10000295,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50360115
10000296,1,Requerimiento Inmediato,95.76,95.76,01001-02015,50360133
10000297,1,Requerimiento Inmediato,93.22,93.22,01001-05002,50360134
10000310,1,Requerimiento Inmediato,21.18,21.18,01001-06070,50360353
10000310,1,Requerimiento Inmediato,16.95,16.95,01001-06072,50360354
10000310,1,Requerimiento Inmediato,21.19,21.19,01001-06087,50360355
10000315,2,Requerimiento Inmediato por OV,4.24,8.48,01001-02060,50360433
10000320,1,Requerimiento Inmediato,15.25,15.25,01001-06001,50360473
10000320,1,Requerimiento Inmediato,15.25,15.25,01001-06072,50360474
10000320,1,Requerimiento Inmediato,16.95,16.95,01001-06003,50360475
10000320,4,Requerimiento Inmediato,6.36,25.44,01001-03024,50360476
10000321,2,Requerimiento Inmediato,33.9,67.8,01001-01003,50360493
10000322,1,Requerimiento Inmediato,932.2,932.2,01001-03078,50360513
10000323,1,Requerimiento Inmediato,16.95,16.95,01001-03069,50360533
10000324,1,Requerimiento Inmediato,118.64,118.64,01001-05002,50360553
10000329,1,Requerimiento Inmediato,59.32,59.32,01001-03084,50360655
10000197,1,Requerimiento Inmediato,68.66,68.66,01001-09015,50358493
